Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10to14_Yrs,Victims_Between_14to18_Yrs,Victims_Between_18to30_Yrs,Victims_Between_30to50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
Andaman & Nicobar Islands,2001,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2001,Victims of Incest Rape,1,0,0,1,0,0,1,0
Andaman & Nicobar Islands,2001,Victims of Other Rape,2,0,0,2,0,0,2,0
Andaman & Nicobar Islands,2002,Total Rape Victims,2,0,0,1,1,0,2,0
Andaman & Nicobar Islands,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Victims of Other Rape,2,0,0,1,1,0,2,0
Andaman & Nicobar Islands,2003,Total Rape Victims,2,0,0,1,0,0,2,1
Andaman & Nicobar Islands,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Victims of Other Rape,2,0,0,1,0,0,2,1
Andaman & Nicobar Islands,2004,Total Rape Victims,10,0,1,7,1,1,10,0
Andaman & Nicobar Islands,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Victims of Other Rape,10,0,1,7,1,1,10,0
Andaman & Nicobar Islands,2005,Total Rape Victims,4,0,0,2,2,0,4,0
Andaman & Nicobar Islands,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Victims of Other Rape,4,0,0,2,2,0,4,0
Andaman & Nicobar Islands,2006,Total Rape Victims,6,0,2,1,1,0,6,2
Andaman & Nicobar Islands,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Victims of Other Rape,6,0,2,1,1,0,6,2
Andaman & Nicobar Islands,2007,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Victims of Other Rape,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2008,Total Rape Victims,12,0,1,7,3,1,12,0
Andaman & Nicobar Islands,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Victims of Other Rape,12,0,1,7,3,1,12,0
Andaman & Nicobar Islands,2009,Total Rape Victims,18,0,3,7,5,1,18,2
Andaman & Nicobar Islands,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Victims of Other Rape,18,0,3,7,5,1,18,2
Andaman & Nicobar Islands,2010,Total Rape Victims,24,0,1,12,8,1,24,2
Andaman & Nicobar Islands,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Victims of Other Rape,24,0,1,12,8,1,24,2
Andhra Pradesh,2001,Total Rape Victims,871,14,138,254,328,80,871,57
Andhra Pradesh,2001,Victims of Incest Rape,4,0,2,0,2,0,4,0
Andhra Pradesh,2001,Victims of Other Rape,867,14,136,254,326,80,867,57
Andhra Pradesh,2002,Total Rape Victims,1002,8,67,35,709,148,1002,35
Andhra Pradesh,2002,Victims of Incest Rape,5,0,2,0,3,0,5,0
Andhra Pradesh,2002,Victims of Other Rape,997,8,65,35,706,148,997,35
Andhra Pradesh,2003,Total Rape Victims,946,7,135,215,429,127,946,33
Andhra Pradesh,2003,Victims of Incest Rape,15,0,2,1,7,2,15,3
Andhra Pradesh,2003,Victims of Other Rape,931,7,133,214,422,125,931,30
Andhra Pradesh,2004,Total Rape Victims,1016,7,145,163,516,130,1016,55
Andhra Pradesh,2004,Victims of Incest Rape,5,0,0,3,1,0,5,1
Andhra Pradesh,2004,Victims of Other Rape,1011,7,145,160,515,130,1011,54
Andhra Pradesh,2005,Total Rape Victims,935,6,106,177,490,124,935,32
Andhra Pradesh,2005,Victims of Incest Rape,18,0,4,0,6,6,18,2
Andhra Pradesh,2005,Victims of Other Rape,917,6,102,177,484,118,917,30
Andhra Pradesh,2006,Total Rape Victims,1049,10,128,238,536,91,1049,46
Andhra Pradesh,2006,Victims of Incest Rape,1,0,0,0,1,0,1,0
Andhra Pradesh,2006,Victims of Other Rape,1048,10,128,238,535,91,1048,46
Andhra Pradesh,2007,Total Rape Victims,1070,7,110,201,572,128,1070,52
Andhra Pradesh,2007,Victims of Incest Rape,7,0,0,4,3,0,7,0
Andhra Pradesh,2007,Victims of Other Rape,1063,7,110,197,569,128,1063,52
Andhra Pradesh,2008,Total Rape Victims,1257,11,126,237,660,174,1257,49
Andhra Pradesh,2008,Victims of Incest Rape,13,2,2,1,5,1,13,2
Andhra Pradesh,2008,Victims of Other Rape,1244,9,124,236,655,173,1244,47
Andhra Pradesh,2009,Total Rape Victims,1188,14,167,208,642,116,1188,41
Andhra Pradesh,2009,Victims of Incest Rape,2,0,0,2,0,0,2,0
Andhra Pradesh,2009,Victims of Other Rape,1186,14,167,206,642,116,1186,41
Andhra Pradesh,2010,Total Rape Victims,1362,15,133,283,749,152,1362,30
Andhra Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Victims of Other Rape,1362,15,133,283,749,152,1362,30
Arunachal Pradesh,2001,Total Rape Victims,33,0,0,1,28,4,33,0
Arunachal Pradesh,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Victims of Other Rape,33,0,0,1,28,4,33,0
Arunachal Pradesh,2002,Total Rape Victims,38,0,0,3,30,5,38,0
Arunachal Pradesh,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Victims of Other Rape,38,0,0,3,30,5,38,0
Arunachal Pradesh,2003,Total Rape Victims,31,0,5,4,19,0,31,3
Arunachal Pradesh,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Victims of Other Rape,31,0,5,4,19,0,31,3
Arunachal Pradesh,2004,Total Rape Victims,42,0,9,0,31,0,42,2
Arunachal Pradesh,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Victims of Other Rape,42,0,9,0,31,0,42,2
Arunachal Pradesh,2005,Total Rape Victims,35,0,5,2,25,0,35,3
Arunachal Pradesh,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Victims of Other Rape,35,0,5,2,25,0,35,3
Arunachal Pradesh,2006,Total Rape Victims,37,0,0,0,34,3,37,0
Arunachal Pradesh,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Victims of Other Rape,37,0,0,0,34,3,37,0
Arunachal Pradesh,2007,Total Rape Victims,48,0,0,0,42,5,48,1
Arunachal Pradesh,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Victims of Other Rape,48,0,0,0,42,5,48,1
Arunachal Pradesh,2008,Total Rape Victims,42,0,7,0,31,0,42,4
Arunachal Pradesh,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Victims of Other Rape,42,0,7,0,31,0,42,4
Arunachal Pradesh,2009,Total Rape Victims,59,0,12,0,42,1,59,4
Arunachal Pradesh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Victims of Other Rape,59,0,12,0,42,1,59,4
Arunachal Pradesh,2010,Total Rape Victims,47,0,10,0,34,1,47,2
Arunachal Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Victims of Other Rape,47,0,10,0,34,1,47,2
Assam,2001,Total Rape Victims,817,2,73,245,370,119,817,8
Assam,2001,Victims of Incest Rape,8,0,1,7,0,0,8,0
Assam,2001,Victims of Other Rape,809,2,72,238,370,119,809,8
Assam,2002,Total Rape Victims,970,0,0,3,621,346,970,0
Assam,2002,Victims of Incest Rape,10,0,0,0,5,5,10,0
Assam,2002,Victims of Other Rape,960,0,0,3,616,341,960,0
Assam,2003,Total Rape Victims,1095,3,5,0,827,260,1095,0
Assam,2003,Victims of Incest Rape,19,0,0,0,19,0,19,0
Assam,2003,Victims of Other Rape,1076,3,5,0,808,260,1076,0
Assam,2004,Total Rape Victims,1171,14,0,0,857,293,1171,7
Assam,2004,Victims of Incest Rape,15,0,0,0,14,1,15,0
Assam,2004,Victims of Other Rape,1156,14,0,0,843,292,1156,7
Assam,2005,Total Rape Victims,1238,15,34,37,847,286,1238,19
Assam,2005,Victims of Incest Rape,7,1,1,0,3,2,7,0
Assam,2005,Victims of Other Rape,1231,14,33,37,844,284,1231,19
Assam,2006,Total Rape Victims,1244,2,21,32,892,289,1244,8
Assam,2006,Victims of Incest Rape,12,0,3,0,6,3,12,0
Assam,2006,Victims of Other Rape,1232,2,18,32,886,286,1232,8
Assam,2007,Total Rape Victims,1437,14,0,40,898,485,1437,0
Assam,2007,Victims of Incest Rape,1,0,0,1,0,0,1,0
Assam,2007,Victims of Other Rape,1436,14,0,39,898,485,1436,0
Assam,2008,Total Rape Victims,1438,21,5,20,849,541,1438,2
Assam,2008,Victims of Incest Rape,7,0,0,0,5,2,7,0
Assam,2008,Victims of Other Rape,1431,21,5,20,844,539,1431,2
Assam,2009,Total Rape Victims,1631,14,6,3,1230,377,1631,1
Assam,2009,Victims of Incest Rape,9,0,0,0,7,2,9,0
Assam,2009,Victims of Other Rape,1622,14,6,3,1223,375,1622,1
Assam,2010,Total Rape Victims,1721,10,9,29,1116,556,1721,1
Assam,2010,Victims of Incest Rape,13,0,0,0,10,3,13,0
Assam,2010,Victims of Other Rape,1708,10,9,29,1106,553,1708,1
Bihar,2001,Total Rape Victims,888,0,15,198,562,112,888,1
Bihar,2001,Victims of Incest Rape,8,0,2,5,1,0,8,0
Bihar,2001,Victims of Other Rape,880,0,13,193,561,112,880,1
Bihar,2002,Total Rape Victims,1040,0,2,2,805,231,1040,0
Bihar,2002,Victims of Incest Rape,3,0,0,1,2,0,3,0
Bihar,2002,Victims of Other Rape,1037,0,2,1,803,231,1037,0
Bihar,2003,Total Rape Victims,985,0,1,1,686,296,985,1
Bihar,2003,Victims of Incest Rape,1,0,0,1,0,0,1,0
Bihar,2003,Victims of Other Rape,984,0,1,0,686,296,984,1
Bihar,2004,Total Rape Victims,1390,6,3,0,1018,363,1390,0
Bihar,2004,Victims of Incest Rape,6,0,0,0,5,1,6,0
Bihar,2004,Victims of Other Rape,1384,6,3,0,1013,362,1384,0
Bihar,2005,Total Rape Victims,1147,0,6,2,872,267,1147,0
Bihar,2005,Victims of Incest Rape,10,0,0,0,8,2,10,0
Bihar,2005,Victims of Other Rape,1137,0,6,2,864,265,1137,0
Bihar,2006,Total Rape Victims,1232,9,0,17,956,250,1232,0
Bihar,2006,Victims of Incest Rape,7,0,0,2,3,2,7,0
Bihar,2006,Victims of Other Rape,1225,9,0,15,953,248,1225,0
Bihar,2007,Total Rape Victims,1555,0,28,79,1186,253,1555,9
Bihar,2007,Victims of Incest Rape,2,0,2,0,0,0,2,0
Bihar,2007,Victims of Other Rape,1553,0,26,79,1186,253,1553,9
Bihar,2008,Total Rape Victims,1302,24,11,80,1028,159,1302,0
Bihar,2008,Victims of Incest Rape,3,0,0,0,1,2,3,0
Bihar,2008,Victims of Other Rape,1299,24,11,80,1027,157,1299,0
Bihar,2009,Total Rape Victims,929,0,19,32,765,101,929,12
Bihar,2009,Victims of Incest Rape,1,0,0,0,1,0,1,0
Bihar,2009,Victims of Other Rape,928,0,19,32,764,101,928,12
Bihar,2010,Total Rape Victims,795,0,17,89,616,65,795,8
Bihar,2010,Victims of Incest Rape,2,0,1,0,0,0,2,1
Bihar,2010,Victims of Other Rape,793,0,16,89,616,65,793,7
Chandigarh,2001,Total Rape Victims,18,0,8,4,4,3,19,0
Chandigarh,2001,Victims of Incest Rape,2,0,0,0,2,0,2,0
Chandigarh,2001,Victims of Other Rape,16,0,8,4,2,3,17,0
Chandigarh,2002,Total Rape Victims,18,0,4,1,9,3,18,1
Chandigarh,2002,Victims of Incest Rape,2,0,0,1,1,0,2,0
Chandigarh,2002,Victims of Other Rape,16,0,4,0,8,3,16,1
Chandigarh,2003,Total Rape Victims,18,0,1,5,7,2,18,3
Chandigarh,2003,Victims of Incest Rape,1,0,0,0,0,0,1,1
Chandigarh,2003,Victims of Other Rape,17,0,1,5,7,2,17,2
Chandigarh,2004,Total Rape Victims,19,0,5,3,5,1,19,5
Chandigarh,2004,Victims of Incest Rape,1,0,1,0,0,0,1,0
Chandigarh,2004,Victims of Other Rape,18,0,4,3,5,1,18,5
Chandigarh,2005,Total Rape Victims,33,0,4,10,5,7,33,7
Chandigarh,2005,Victims of Incest Rape,1,0,0,1,0,0,1,0
Chandigarh,2005,Victims of Other Rape,32,0,4,9,5,7,32,7
Chandigarh,2006,Total Rape Victims,19,0,2,6,4,4,19,3
Chandigarh,2006,Victims of Incest Rape,5,0,1,2,1,0,5,1
Chandigarh,2006,Victims of Other Rape,14,0,1,4,3,4,14,2
Chandigarh,2007,Total Rape Victims,22,0,3,2,11,3,22,3
Chandigarh,2007,Victims of Incest Rape,2,0,1,0,0,0,2,1
Chandigarh,2007,Victims of Other Rape,20,0,2,2,11,3,20,2
Chandigarh,2008,Total Rape Victims,20,0,3,7,7,1,20,2
Chandigarh,2008,Victims of Incest Rape,3,0,0,2,1,0,3,0
Chandigarh,2008,Victims of Other Rape,17,0,3,5,6,1,17,2
Chandigarh,2009,Total Rape Victims,29,0,8,10,8,0,29,3
Chandigarh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2009,Victims of Other Rape,29,0,8,10,8,0,29,3
Chandigarh,2010,Total Rape Victims,31,0,8,4,15,0,31,4
Chandigarh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2010,Victims of Other Rape,31,0,8,4,15,0,31,4
Chhattisgarh,2001,Total Rape Victims,959,4,191,218,384,137,959,25
Chhattisgarh,2001,Victims of Incest Rape,6,0,3,1,1,1,6,0
Chhattisgarh,2001,Victims of Other Rape,953,4,188,217,383,136,953,25
Chhattisgarh,2002,Total Rape Victims,992,11,131,25,652,147,992,26
Chhattisgarh,2002,Victims of Incest Rape,63,3,13,18,16,11,63,2
Chhattisgarh,2002,Victims of Other Rape,929,8,118,7,636,136,929,24
Chhattisgarh,2003,Total Rape Victims,898,5,97,62,376,331,898,27
Chhattisgarh,2003,Victims of Incest Rape,39,0,2,16,13,7,39,1
Chhattisgarh,2003,Victims of Other Rape,859,5,95,46,363,324,859,26
Chhattisgarh,2004,Total Rape Victims,969,9,61,233,426,226,969,14
Chhattisgarh,2004,Victims of Incest Rape,78,1,6,30,30,9,78,2
Chhattisgarh,2004,Victims of Other Rape,891,8,55,203,396,217,891,12
Chhattisgarh,2005,Total Rape Victims,990,16,112,255,392,200,990,15
Chhattisgarh,2005,Victims of Incest Rape,110,0,10,33,39,27,110,1
Chhattisgarh,2005,Victims of Other Rape,880,16,102,222,353,173,880,14
Chhattisgarh,2006,Total Rape Victims,995,27,104,316,337,183,995,28
Chhattisgarh,2006,Victims of Incest Rape,97,2,12,33,29,15,97,6
Chhattisgarh,2006,Victims of Other Rape,898,25,92,283,308,168,898,22
Chhattisgarh,2007,Total Rape Victims,982,13,117,219,500,101,982,32
Chhattisgarh,2007,Victims of Incest Rape,63,0,10,31,14,6,63,2
Chhattisgarh,2007,Victims of Other Rape,919,13,107,188,486,95,919,30
Chhattisgarh,2008,Total Rape Victims,978,3,80,307,388,176,978,24
Chhattisgarh,2008,Victims of Incest Rape,31,0,3,15,12,1,31,0
Chhattisgarh,2008,Victims of Other Rape,947,3,77,292,376,175,947,24
Chhattisgarh,2009,Total Rape Victims,976,9,227,87,460,113,976,80
Chhattisgarh,2009,Victims of Incest Rape,24,2,2,8,6,5,24,1
Chhattisgarh,2009,Victims of Other Rape,952,7,225,79,454,108,952,79
Chhattisgarh,2010,Total Rape Victims,1012,16,87,271,424,190,1012,24
Chhattisgarh,2010,Victims of Incest Rape,21,0,2,3,13,3,21,0
Chhattisgarh,2010,Victims of Other Rape,991,16,85,268,411,187,991,24
Dadra & Nagar Haveli,2001,Total Rape Victims,6,0,0,3,3,0,6,0
Dadra & Nagar Haveli,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2001,Victims of Other Rape,6,0,0,3,3,0,6,0
Dadra & Nagar Haveli,2002,Total Rape Victims,4,0,1,1,1,0,4,1
Dadra & Nagar Haveli,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2002,Victims of Other Rape,4,0,1,1,1,0,4,1
Dadra & Nagar Haveli,2003,Total Rape Victims,1,0,0,0,1,0,1,0
Dadra & Nagar Haveli,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,Victims of Other Rape,1,0,0,0,1,0,1,0
Dadra & Nagar Haveli,2004,Total Rape Victims,7,0,0,0,6,1,7,0
Dadra & Nagar Haveli,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Victims of Other Rape,7,0,0,0,6,1,7,0
Dadra & Nagar Haveli,2005,Total Rape Victims,5,0,0,0,5,0,5,0
Dadra & Nagar Haveli,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Victims of Other Rape,5,0,0,0,5,0,5,0
Dadra & Nagar Haveli,2006,Total Rape Victims,6,0,1,2,1,0,6,2
Dadra & Nagar Haveli,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006,Victims of Other Rape,6,0,1,2,1,0,6,2
Dadra & Nagar Haveli,2007,Total Rape Victims,7,0,2,4,0,0,7,1
Dadra & Nagar Haveli,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,Victims of Other Rape,7,0,2,4,0,0,7,1
Dadra & Nagar Haveli,2008,Total Rape Victims,6,0,1,2,3,0,6,0
Dadra & Nagar Haveli,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2008,Victims of Other Rape,6,0,1,2,3,0,6,0
Dadra & Nagar Haveli,2009,Total Rape Victims,4,0,2,0,2,0,4,0
Dadra & Nagar Haveli,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Victims of Other Rape,4,0,2,0,2,0,4,0
Dadra & Nagar Haveli,2010,Total Rape Victims,3,0,1,1,0,0,3,1
Dadra & Nagar Haveli,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Victims of Other Rape,3,0,1,1,0,0,3,1
Daman & Diu,2001,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Total Rape Victims,5,0,0,3,0,0,5,2
Daman & Diu,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Victims of Other Rape,5,0,0,3,0,0,5,2
Daman & Diu,2004,Total Rape Victims,1,0,0,1,0,0,1,0
Daman & Diu,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2004,Victims of Other Rape,1,0,0,1,0,0,1,0
Daman & Diu,2005,Total Rape Victims,2,0,1,0,0,1,2,0
Daman & Diu,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2005,Victims of Other Rape,2,0,1,0,0,1,2,0
Daman & Diu,2006,Total Rape Victims,3,0,0,0,2,0,3,1
Daman & Diu,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2006,Victims of Other Rape,3,0,0,0,2,0,3,1
Daman & Diu,2007,Total Rape Victims,1,0,0,0,1,0,1,0
Daman & Diu,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2007,Victims of Other Rape,1,0,0,0,1,0,1,0
Daman & Diu,2008,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Total Rape Victims,1,0,0,0,0,0,1,1
Daman & Diu,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Victims of Other Rape,1,0,0,0,0,0,1,1
Daman & Diu,2010,Total Rape Victims,1,0,0,0,0,0,1,1
Daman & Diu,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2010,Victims of Other Rape,1,0,0,0,0,0,1,1
Delhi,2001,Total Rape Victims,381,0,81,154,59,41,383,48
Delhi,2001,Victims of Incest Rape,9,0,3,2,1,0,9,3
Delhi,2001,Victims of Other Rape,372,0,78,152,58,41,374,45
Delhi,2002,Total Rape Victims,403,0,54,52,217,49,407,35
Delhi,2002,Victims of Incest Rape,32,0,6,12,10,0,32,4
Delhi,2002,Victims of Other Rape,371,0,48,40,207,49,375,31
Delhi,2003,Total Rape Victims,490,0,50,76,321,17,490,26
Delhi,2003,Victims of Incest Rape,21,0,5,11,4,0,21,1
Delhi,2003,Victims of Other Rape,469,0,45,65,317,17,469,25
Delhi,2004,Total Rape Victims,551,0,126,77,282,6,551,60
Delhi,2004,Victims of Incest Rape,16,0,7,6,2,0,16,1
Delhi,2004,Victims of Other Rape,535,0,119,71,280,6,535,59
Delhi,2005,Total Rape Victims,658,2,120,55,404,25,666,60
Delhi,2005,Victims of Incest Rape,32,0,9,10,2,0,32,11
Delhi,2005,Victims of Other Rape,626,2,111,45,402,25,634,49
Delhi,2006,Total Rape Victims,623,2,111,267,155,21,626,70
Delhi,2006,Victims of Incest Rape,26,0,4,12,7,0,26,3
Delhi,2006,Victims of Other Rape,597,2,107,255,148,21,600,67
Delhi,2007,Total Rape Victims,598,1,94,228,179,24,602,76
Delhi,2007,Victims of Incest Rape,18,0,2,9,5,0,18,2
Delhi,2007,Victims of Other Rape,580,1,92,219,174,24,584,74
Delhi,2008,Total Rape Victims,466,6,95,135,133,30,470,71
Delhi,2008,Victims of Incest Rape,37,4,12,8,10,1,37,2
Delhi,2008,Victims of Other Rape,429,2,83,127,123,29,433,69
Delhi,2009,Total Rape Victims,469,1,72,188,141,20,469,47
Delhi,2009,Victims of Incest Rape,19,0,3,5,6,2,19,3
Delhi,2009,Victims of Other Rape,450,1,69,183,135,18,450,44
Delhi,2010,Total Rape Victims,507,1,79,174,168,34,507,51
Delhi,2010,Victims of Incest Rape,21,0,11,3,1,0,21,6
Delhi,2010,Victims of Other Rape,486,1,68,171,167,34,486,45
Goa,2001,Total Rape Victims,12,0,7,1,0,1,12,3
Goa,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2001,Victims of Other Rape,12,0,7,1,0,1,12,3
Goa,2002,Total Rape Victims,12,0,3,3,4,1,12,1
Goa,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2002,Victims of Other Rape,12,0,3,3,4,1,12,1
Goa,2003,Total Rape Victims,31,0,9,8,7,2,32,6
Goa,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2003,Victims of Other Rape,31,0,9,8,7,2,32,6
Goa,2004,Total Rape Victims,37,0,7,5,12,5,37,8
Goa,2004,Victims of Incest Rape,1,0,0,1,0,0,1,0
Goa,2004,Victims of Other Rape,36,0,7,4,12,5,36,8
Goa,2005,Total Rape Victims,20,0,4,7,4,1,20,4
Goa,2005,Victims of Incest Rape,1,0,0,0,0,0,1,1
Goa,2005,Victims of Other Rape,19,0,4,7,4,1,19,3
Goa,2006,Total Rape Victims,21,1,4,9,5,1,21,1
Goa,2006,Victims of Incest Rape,1,0,0,0,1,0,1,0
Goa,2006,Victims of Other Rape,20,1,4,9,4,1,20,1
Goa,2007,Total Rape Victims,20,0,4,7,4,1,20,4
Goa,2007,Victims of Incest Rape,1,0,0,1,0,0,1,0
Goa,2007,Victims of Other Rape,19,0,4,6,4,1,19,4
Goa,2008,Total Rape Victims,30,2,6,11,7,3,30,1
Goa,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2008,Victims of Other Rape,30,2,6,11,7,3,30,1
Goa,2009,Total Rape Victims,47,0,11,21,15,2,50,1
Goa,2009,Victims of Incest Rape,1,0,0,1,0,0,1,0
Goa,2009,Victims of Other Rape,46,0,11,20,15,2,49,1
Goa,2010,Total Rape Victims,36,2,5,14,11,0,36,4
Goa,2010,Victims of Incest Rape,2,0,0,2,0,0,2,0
Goa,2010,Victims of Other Rape,34,2,5,12,11,0,34,4
Gujarat,2001,Total Rape Victims,286,0,23,87,125,36,286,15
Gujarat,2001,Victims of Incest Rape,2,0,0,2,0,0,2,0
Gujarat,2001,Victims of Other Rape,284,0,23,85,125,36,284,15
Gujarat,2002,Total Rape Victims,267,0,16,43,176,17,268,16
Gujarat,2002,Victims of Incest Rape,10,0,4,2,2,0,10,2
Gujarat,2002,Victims of Other Rape,257,0,12,41,174,17,258,14
Gujarat,2003,Total Rape Victims,236,0,17,46,143,13,236,17
Gujarat,2003,Victims of Incest Rape,7,0,0,3,3,0,7,1
Gujarat,2003,Victims of Other Rape,229,0,17,43,140,13,229,16
Gujarat,2004,Total Rape Victims,339,2,27,57,194,47,339,12
Gujarat,2004,Victims of Incest Rape,14,0,2,2,7,3,14,0
Gujarat,2004,Victims of Other Rape,325,2,25,55,187,44,325,12
Gujarat,2005,Total Rape Victims,324,0,28,44,218,16,324,18
Gujarat,2005,Victims of Incest Rape,19,0,4,5,8,0,19,2
